,0,1
0,accept,1
1,access,2
2,add,3
3,afterwards,1
4,aggregator,1
5,already,6
6,alts,1
7,amount,1
8,amounts,2
9,anti,1
10,apply,1
11,area,1
12,assume,1
13,assuming,1
14,ath,1
15,attention,1
16,away,2
17,backs,1
18,beginning,1
19,bigger,1
20,billion,2
21,bitgert,1
22,blockchains,2
23,bonus,1
24,bout,1
25,case,2
26,causes,1
27,centralized,2
28,choose,2
29,ck,1
30,compete,1
31,considering,1
32,content,2
33,continues,1
34,cosmos,1
35,counter,1
36,crash,1
37,creating,1
38,creator,1
39,crying,1
40,ct,3
41,dealing,1
42,decided,1
43,deflationary,1
44,designed,1
45,dev,1
46,different,1
47,directly,2
48,discovery,1
49,double,2
50,dyor,1
51,easier,1
52,efficient,1
53,engine,1
54,established,1
55,ever,2
56,evident,1
57,excellent,1
58,existing,1
59,expecting,1
60,fake,1
61,fall,1
62,fantasy,1
63,fin,1
64,firm,1
65,fit,1
66,followers,1
67,friend,1
68,friends,1
69,fud,1
70,g,1
71,gains,2
72,games,3
73,given,1
74,giving,1
75,great,6
76,groups,1
77,growth,2
78,happening,1
79,hard,2
80,hate,3
81,history,1
82,hodl,1
83,holders,1
84,htr,1
85,idiots,1
86,impermanent,1
87,impossible,1
88,influence,1
89,institutional,1
90,interest,1
91,interesting,1
92,invented,1
93,isnt,1
94,jump,1
95,kishu,1
96,late,1
97,less,4
98,line,1
99,locked,1
100,lows,1
101,ls,1
102,main,1
103,major,3
104,makes,3
105,may,3
106,meme,1
107,millions,1
108,mind,1
109,minus,1
110,mostly,2
111,movement,1
112,multiple,2
113,nah,1
114,named,1
115,necessary,1
116,networks,1
117,nfts,4
118,none,1
119,nope,1
120,note,1
121,okay,1
122,owning,1
123,part,1
124,person,1
125,places,1
126,players,1
127,pos,1
128,predictions,1
129,prefer,1
130,pressure,1
131,previous,1
132,priced,1
133,profile,1
134,profit,2
135,proven,1
136,pumped,1
137,rate,3
138,recover,1
139,reflection,1
140,reflections,1
141,refuse,1
142,release,1
143,research,1
144,resistance,1
145,rest,1
146,ride,1
147,s,2
148,safe,2
149,scammed,1
150,scammers,1
151,security,1
152,seen,4
153,sending,2
154,service,1
155,sha,1
156,shitcoins,1
157,shorted,1
158,shouldnt,1
159,side,1
160,silly,1
161,simply,1
162,smartcoin,1
163,software,1
164,sometimes,1
165,stablecoin,2
166,stablecoins,1
167,stakers,1
168,straight,1
169,strategies,1
170,struggling,1
171,talking,1
172,ten,1
173,terra,2
174,transfer,1
175,trending,1
176,ukrainian,1
177,upside,1
178,via,1
179,vra,1
180,wbtc,1
181,website,2
182,whenever,1
183,worthless,1
184,ya,1
