,0,1
0,acceptable,1
1,adding,1
2,aint,1
3,allowing,1
4,anon,3
5,anonymous,1
6,appreciate,3
7,atleast,1
8,australia,1
9,ava,2
10,awful,1
11,background,1
12,banana,1
13,banned,3
14,beth,1
15,bitfinex,2
16,blacklisted,1
17,boomer,1
18,bpt,1
19,brother,2
20,bucks,1
21,bullshit,1
22,burnt,1
23,busy,1
24,came,3
25,canceled,1
26,catastrophic,1
27,charlie,1
28,childhood,1
29,chill,1
30,chrome,1
31,color,1
32,competitors,1
33,compression,1
34,congestion,1
35,constitution,1
36,copy,2
37,cough,1
38,court,1
39,crypter,1
40,cult,1
41,cursed,1
42,curve,2
43,cz,1
44,da,1
45,dc,6
46,deb,1
47,decides,1
48,deeply,1
49,delete,1
50,deposited,1
51,dick,1
52,dipping,1
53,disappear,1
54,discussed,1
55,distraction,1
56,drawing,2
57,dream,2
58,dyp,1
59,earlier,1
60,earlybird,1
61,eh,1
62,empty,1
63,equal,3
64,facebook,1
65,fallen,3
66,famous,1
67,fav,1
68,floor,4
69,foh,1
70,fool,1
71,fucked,1
72,funny,2
73,gang,1
74,gemini,1
75,gfy,1
76,gigachad,1
77,god,3
78,greedy,1
79,grew,1
80,hahahaha,1
81,happier,1
82,havent,4
83,hearing,1
84,heart,1
85,homepage,1
86,honeypot,1
87,horse,1
88,hsi,1
89,huh,1
90,impossible,2
91,incentives,1
92,influencer,1
93,instagram,1
94,instructions,1
95,jumped,1
96,justice,1
97,justin,1
98,kiss,1
99,la,1
100,lee,1
101,legg,1
102,likes,2
103,lil,1
104,logging,1
105,longer,4
106,looked,3
107,lovers,1
108,lunarcrush,1
109,massively,1
110,meant,2
111,migration,1
112,monkey,1
113,mri,1
114,mum,1
115,nfl,1
116,nobi,1
117,nonsense,2
118,november,1
119,np,1
120,nvm,1
121,onboard,1
122,outlined,1
123,paste,1
124,pattern,1
125,period,2
126,phone,1
127,pictures,1
128,plane,1
129,playstation,1
130,pls,4
131,poor,5
132,practice,1
133,prolly,1
134,props,1
135,realized,3
136,receipts,1
137,received,2
138,receiving,1
139,recovered,1
140,registered,1
141,remind,1
142,retweets,1
143,rough,1
144,ruined,1
145,s,14
146,sbr,2
147,screwed,1
148,shady,1
149,shilling,1
150,shoot,1
151,shorter,1
152,shouldve,1
153,situations,1
154,slide,1
155,slippage,3
156,smh,2
157,snowtrace,1
158,software,1
159,solely,2
160,song,1
161,spare,1
162,spent,3
163,ss,1
164,starknet,1
165,stil,1
166,storage,2
167,story,5
168,sturm,1
169,style,1
170,suggestions,2
171,summer,1
172,supposed,1
173,tabs,1
174,tanking,1
175,thomas,1
176,thru,1
177,tiers,1
178,toilet,1
179,tokenomic,1
180,tonight,1
181,topped,2
182,toy,1
183,troll,1
184,truevoodoo,1
185,tue,1
186,unclear,1
187,understood,1
188,unfortunately,2
189,usual,1
190,vegas,1
191,vvs,1
192,wars,1
193,wasting,1
194,watching,4
195,whos,1
196,winter,1
197,witnessing,1
198,worries,1
199,xrd,1
200,yea,1
201,zeus,1
