,0,1
0,abt,3
1,accept,5
2,accidently,1
3,ace,1
4,achieving,2
5,acquire,2
6,advanced,2
7,adventure,1
8,advise,2
9,advisory,1
10,afp,1
11,agave,1
12,age,1
13,agenda,2
14,ageur,1
15,ahh,1
16,albt,3
17,alchemix,1
18,aleph,1
19,algofi,2
20,allowed,2
21,allowlist,1
22,ambitions,1
23,amendment,1
24,amendments,1
25,analyst,5
26,analysts,1
27,andy,2
28,anime,1
29,announcements,1
30,anxious,1
31,approaches,1
32,arena,1
33,arriving,1
34,assholes,2
35,astroport,1
36,ate,1
37,attacking,1
38,attempts,1
39,attract,2
40,attracted,1
41,attribute,1
42,avail,1
43,avangers,2
44,avengers,1
45,avp,1
46,awaiting,1
47,awake,2
48,awfully,1
49,axia,1
50,ayo,1
51,babydoge,1
52,babyyyyy,1
53,backdrop,1
54,bacon,1
55,badger,1
56,baked,1
57,bakery,1
58,balancer,1
59,bang,1
60,banger,1
61,banned,5
62,barca,1
63,battles,1
64,bazaar,1
65,beans,1
66,bees,1
67,beginners,1
68,behalf,1
69,billionaire,1
70,bitfarms,1
71,bitfinex,2
72,bitstamp,2
73,blew,1
74,blocked,3
75,blockfi,1
76,bloom,1
77,boa,1
78,boi,1
79,bomb,1
80,bone,1
81,boo,1
82,bookmark,1
83,booster,1
84,borrows,1
85,boundaries,1
86,boyfriend,1
87,brainer,1
88,branford,1
89,brave,1
90,bravo,1
91,bribes,1
92,broker,1
93,brown,2
94,btcst,1
95,btcusd,3
96,btg,1
97,btr,1
98,btt,3
99,bubble,2
100,buckle,1
101,buddies,1
102,buddy,5
103,bum,1
104,burner,1
105,bus,1
106,businesses,1
107,butterfly,1
108,byte,1
109,cadc,1
110,calendar,1
111,calgary,1
112,candidate,1
113,canyon,1
114,capacity,2
115,capped,4
116,carbon,2
117,casually,1
118,cbt,1
119,cc,3
120,ceases,1
121,cecil,1
122,centralised,1
123,century,1
124,ceremony,2
125,cexiswap,2
126,cg,1
127,champ,1
128,chaos,1
129,charged,1
130,charges,2
131,chief,1
132,citing,1
133,clash,1
134,claw,1
135,clicked,1
136,clicking,1
137,cliff,1
138,climb,1
139,clouds,1
140,clueless,1
141,cofounder,2
142,commitment,1
143,commodity,1
144,completes,2
145,condom,2
146,conducted,1
147,congratulate,1
148,connections,1
149,considered,4
150,consist,1
151,conspiracy,1
152,consumption,3
153,containers,1
154,continually,1
155,contributor,5
156,converts,1
157,cooked,1
158,cooking,1
159,cornell,1
160,correlated,1
161,correlates,1
162,county,2
163,coval,1
164,cpas,1
165,crap,1
166,crhistmas,1
167,crown,2
168,crucial,1
169,cryptotraders,1
170,ctk,2
171,cult,2
172,culture,1
173,custody,1
174,custom,5
175,cyberattacks,1
176,dag,3
177,dam,1
178,dapper,2
179,dar,2
180,database,1
181,dated,1
182,davos,1
183,de,5
184,deb,2
185,debate,1
186,decides,1
187,decrease,1
188,decreasing,2
189,definitely,26
190,delicious,1
191,delivers,1
192,delivery,2
193,delusional,1
194,dems,1
195,denied,1
196,depends,4
197,depleted,1
198,deployed,3
199,depths,1
200,deribit,1
201,descentralized,1
202,described,1
203,desert,1
204,destined,1
205,dexs,1
206,dext,1
207,die,2
208,dipped,1
209,disagree,2
210,discussed,1
211,distant,1
212,diverse,1
213,dividends,3
214,division,1
215,dms,1
216,dn,2
217,domain,3
218,dome,2
219,donate,3
220,donating,1
221,doneeeee,1
222,dope,4
223,downtown,1
224,draft,1
225,drama,1
226,dreaming,1
227,drug,1
228,dude,8
229,dusk,4
230,duty,1
231,dynamic,2
232,eastern,2
233,ecologist,1
234,effect,2
235,effectively,4
236,eg,1
237,eip,1
238,elegant,1
239,eloquently,1
240,email,1
241,emily,3
242,employees,1
243,entertainment,1
244,enthusiast,1
245,entrepreneur,1
246,ep,1
247,eta,2
248,ethos,1
249,exchanged,2
250,executing,1
251,exited,1
252,expands,2
253,exploited,1
254,explorer,1
255,exponentially,2
256,fa,1
257,fabulous,1
258,fade,1
259,fallen,1
260,faqs,1
261,farmed,2
262,farmer,1
263,favors,1
264,fcfs,1
265,feat,1
266,feeds,1
267,feg,5
268,felt,2
269,fibs,1
270,filling,1
271,finals,2
272,finds,3
273,finishing,1
274,fireblocks,1
275,fixes,2
276,fj,1
277,flag,4
278,flagship,2
279,flames,1
280,flash,3
281,fleet,1
282,flippening,1
283,flooding,1
284,flows,1
285,folk,1
286,foot,1
287,forces,2
288,forgot,3
289,fortune,2
290,fraud,1
291,ft,1
292,fu,1
293,fucked,3
294,fuel,1
295,functions,1
296,fundraising,1
297,fx,1
298,fxs,3
299,gamefi,8
300,gcash,1
301,genies,1
302,genuinely,1
303,gg,2
304,ghost,2
305,ghostmarket,1
306,gif,1
307,gifts,2
308,gives,22
309,gladly,1
310,gme,5
311,goal,4
312,goals,6
313,gon,1
314,goodluck,2
315,google,5
316,goooo,2
317,gop,2
318,gossip,1
319,grade,1
320,grant,1
321,greedy,1
322,green,17
323,greener,1
324,grinding,2
325,groups,2
326,grown,2
327,guest,1
328,gunner,1
329,hackers,1
330,hair,1
331,hall,1
332,hammer,1
333,handles,1
334,hardcap,1
335,hardly,2
336,harry,1
337,hat,2
338,hdrn,1
339,hearing,2
340,hearted,1
341,hidden,1
342,hindsight,1
343,historical,1
344,hobonickels,1
345,hodler,6
346,honesty,1
347,hood,1
348,hoops,1
349,horny,1
350,horses,1
351,hover,1
352,http,1
353,huh,2
354,humanitarian,1
355,huntr,1
356,hunts,1
357,hyper,1
358,ideally,1
359,idk,6
360,idle,1
361,idol,1
362,ig,1
363,illogical,1
364,illustration,1
365,images,1
366,imho,1
367,implementing,1
368,inbound,1
369,inefficiencies,1
370,infinity,1
371,inflection,1
372,influence,2
373,informations,2
374,initiative,1
375,instructions,1
376,intend,1
377,interact,2
378,introduces,1
379,invention,1
380,invesment,1
381,invitation,1
382,ios,4
383,iotex,1
384,iso,1
385,jackson,1
386,jfc,1
387,jlp,2
388,joke,4
389,joy,1
390,juice,3
391,karinedao,1
392,keen,3
393,kept,1
394,kiba,1
395,kicking,1
396,killing,1
397,kinda,5
398,king,12
399,kingdom,4
400,knock,3
401,kraken,2
402,kudos,1
403,lab,2
404,lack,1
405,lalo,1
406,lambeau,1
407,lan,1
408,landing,1
409,las,1
410,latency,1
411,leaning,1
412,leg,4
413,legislation,2
414,lemme,1
415,libs,1
416,limewire,1
417,linkup,1
418,liquid,8
419,llewellyn,1
420,lmaooo,1
421,lmk,1
422,ln,1
423,local,2
424,loop,1
425,looping,1
426,loosing,1
427,loot,1
428,lover,1
429,lovers,1
430,lunarcrush,1
431,lunch,1
432,luv,1
433,lying,1
434,mainframe,1
435,mama,1
436,manager,1
437,manausdt,1
438,mango,1
439,marked,1
440,marty,1
441,mat,1
442,materialize,2
443,meanwhile,2
444,meat,1
445,melt,1
446,memes,2
447,mess,1
448,messi,1
449,micro,2
450,millennial,1
451,millionaire,1
452,mine,14
453,mingo,3
454,minimal,1
455,minister,2
456,misleading,2
457,misses,1
458,mission,2
459,mistakes,3
460,mix,1
461,mixer,1
462,monkeys,1
463,mooning,1
464,moons,2
465,mpl,1
466,msft,2
467,multisig,1
468,musk,9
469,mysterious,1
470,mystery,3
471,myt,1
472,naturalization,1
473,nears,1
474,negative,3
475,negatives,1
476,newest,3
477,newswire,1
478,nicely,4
479,nikkei,1
480,nl,1
481,nonsense,2
482,normal,3
483,normies,1
484,noticing,1
485,offense,1
486,officer,1
487,offline,1
488,ohm,2
489,okay,7
490,oo,2
491,oportunity,1
492,optimal,1
493,optimusswap,1
494,oracles,1
495,orai,2
496,orange,1
497,orb,1
498,originals,1
499,ousd,1
500,outflows,3
501,outreach,1
502,pablo,1
503,pad,2
504,pairing,1
505,pamphlet,1
